	Compound	Compound Name	yeastGEM
0		oxygen	oxygen
1		ammonium	ammonium
2		sulphate	sulphate
3		phosphate	phosphate
4		D-galactose	D-galactose
5		L-alanine	L-alanine
6		L-arginine	L-arginine
7		L-aspartate	L-aspartate
8		L-cysteine	L-cysteine
9		L-glutamate	L-glutamate
10		L-glycine	L-glycine
11		L-histidine	L-histidine
12		L-isoleucine	L-isoleucine
13		L-leucine	L-leucine
14		L-lysine	L-lysine
15		L-methionine	L-methionine
16		L-phenylalanine	L-phenylalanine
17		L-proline	L-proline
18		L-serine	L-serine
19		L-threonine	L-threonine
20		L-tryptophan	L-tryptophan
21		L-tyrosine	L-tyrosine
22		L-valine	L-valine
23		potassium	potassium
24		sodium	sodium
25		biotin	biotin
26		choline	choline
27		riboflavin	riboflavin
28		thiamine	thiamine
29		myo-inositol	myo-inositol
30		thymidine	thymidine
31		nicotinate	nicotinate
32		4-aminobenzoate	4-aminobenzoate
33		(R)-pantothenate	(R)-pantothenate
34		pyridoxine	pyridoxine
35		uracil	uracil
